"Player","ID","Team","Opponent","Round","Kicks","Marks","Hand Balls","Disp","Goals","Behinds","Hit Outs","Tackles","Rebounds","Inside 50","Clearances","Clangers","Frees For","Frees Against","Brownlow","Uncontested Possessions","Contested Possessions","Contested Marks","Marks Inside 50","One Percenters","Bounces","Goal Assists","% Time Played"
"Paul Abbott",1275,"HW","ES","3",1,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gary Ayres",1257,"HW","ES","3",11,4,4,15,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
"Dermott Brereton",234,"HW","ES","3",12,6,5,17,4,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0
"Peter Curran",1378,"HW","ES","3",5,2,5,10,0,1,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
"Robert DiPierdomenico",1350,"HW","ES","3",8,0,2,10,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"Rodney Eade",1694,"HW","ES","3",3,0,2,5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Russell Greene",1767,"HW","ES","3",17,5,14,31,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0
"Ken Judge",1860,"HW","ES","3",6,4,0,6,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"John Kennedy",1351,"HW","ES","3",4,1,0,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Rod Lester-Smith",1398,"HW","ES","3",12,3,7,19,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
"Stephen Malaxos",1370,"HW","ES","3",15,2,6,21,3,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"Leigh Matthews",1949,"HW","ES","3",8,2,6,14,2,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0
"Michael McCarthy",1960,"HW","ES","3",7,2,5,12,2,0,4,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0
"Chris Mew",1326,"HW","ES","3",14,4,4,18,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Russell Morris",1188,"HW","ES","3",15,4,5,20,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0
"Ian Paton",2061,"HW","ES","3",5,2,10,15,0,0,10,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
"Colin Robertson",2123,"HW","ES","3",11,3,9,20,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0
"Peter Russo",2135,"HW","ES","3",20,5,9,29,0,2,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0
"Peter Schwab",1360,"HW","ES","3",10,1,4,14,1,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0
"Michael Tuck",1319,"HW","ES","3",14,1,2,16,1,2,1,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0
"Leon Baker",1503,"ES","HW","3",8,7,6,14,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"Peter Bradbury",1547,"ES","HW","3",4,2,6,10,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
"Terry Daniher",1311,"ES","HW","3",10,4,5,15,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bill Duckworth",1405,"ES","HW","3",6,3,8,14,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Frank Dunell",1690,"ES","HW","3",6,1,4,10,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
"Tony Elshaug",1707,"ES","HW","3",21,4,8,29,1,3,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0
"Alan Ezard",1301,"ES","HW","3",14,3,7,21,0,4,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
"Garry Foulds",1736,"ES","HW","3",16,1,2,18,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
"Mark Harvey",321,"ES","HW","3",16,3,6,22,3,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
"Glenn Hawker",1355,"ES","HW","3",12,2,3,15,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Simon Madden",1302,"ES","HW","3",7,2,2,9,2,0,28,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0
"Roger Merrett",107,"ES","HW","3",4,0,5,9,1,0,11,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0
"Merv Neagle",1375,"ES","HW","3",18,3,5,23,1,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0
"Mark Thompson",326,"ES","HW","3",5,1,8,13,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Paul Vander Haar",1335,"ES","HW","3",13,9,3,16,4,0,2,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0
"Kevin Walsh",1392,"ES","HW","3",10,6,4,14,0,0,1,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0
"Tim Watson",1162,"ES","HW","3",10,4,3,13,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0
"Paul Weston",2264,"ES","HW","3",9,3,3,12,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"Darren Williams",1372,"ES","HW","3",15,4,4,19,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0
"Bryan Wood",2290,"ES","HW","3",14,5,5,19,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Jon Collins",1618,"NM","CW","1",12,2,4,16,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Dean Dugdale",11078,"NM","CW","1",2,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"David Dwyer",1692,"NM","CW","1",5,1,1,6,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Tony Furey",1743,"NM","CW","1",5,3,2,7,1,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0
"Ross Glendinning",1757,"NM","CW","1",13,8,3,16,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0
"Keith Greig",1765,"NM","CW","1",7,2,5,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Tim Harrington",1793,"NM","CW","1",2,1,1,3,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
"Steve Hickey",1807,"NM","CW","1",5,2,3,8,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
"Kym Hodgeman",1812,"NM","CW","1",12,5,5,17,2,4,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
"John Holt",1815,"NM","CW","1",19,0,1,20,2,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0
"Peter Jonas",1856,"NM","CW","1",12,2,4,16,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0
"Jim Krakouer",1389,"NM","CW","1",11,3,4,15,1,1,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0
"Phil Krakouer",1906,"NM","CW","1",8,6,2,10,3,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Matthew Larkin",1303,"NM","CW","1",23,2,7,30,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0
"John Law",1390,"NM","CW","1",12,4,0,12,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
"Mark Lisle",1922,"NM","CW","1",4,3,8,12,0,0,15,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0
"Stephen McCann",1956,"NM","CW","1",8,6,3,11,1,1,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Kevin McGuire",11082,"NM","CW","1",8,3,3,11,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Rick Norman",11247,"NM","CW","1",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Michael Passmore",11211,"NM","CW","1",7,1,1,8,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0
"Bruce Abernethy",1475,"CW","NM","1",16,4,4,20,0,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0
"Denis Banks",1507,"CW","NM","1",14,6,7,21,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Ricky Barham",1510,"CW","NM","1",5,2,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mark Beers",11240,"CW","NM","1",7,2,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Murray Browne",1561,"CW","NM","1",10,1,6,16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Tony Burgess",11289,"CW","NM","1",8,2,6,14,0,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"David Cloke",1286,"CW","NM","1",12,6,9,21,0,0,6,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0
"Peter Daicos",1253,"CW","NM","1",16,7,4,20,1,6,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0
"Russell Dickson",1672,"CW","NM","1",11,3,1,12,4,1,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0
"James Manson",395,"CW","NM","1",5,2,4,9,0,1,8,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"Ian McMullin",4005,"CW","NM","1",4,0,1,5,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0
"Shane Morwood",1254,"CW","NM","1",8,2,10,18,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Greg Phillips",2074,"CW","NM","1",7,3,4,11,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0
"Geoff Raines",2092,"CW","NM","1",18,8,11,29,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
"Michael Richardson",1354,"CW","NM","1",11,9,13,24,2,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"Neville Shaw",11245,"CW","NM","1",6,4,3,9,1,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0
"Tony Shaw",1166,"CW","NM","1",20,11,8,28,1,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0
"Greg Smith",2179,"CW","NM","1",7,0,3,10,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Brian Taylor",1403,"CW","NM","1",10,8,3,13,7,1,1,0,0,0,0,0,1,3,3,0,0,0,0,0,0,0,0
