Player,Year,Kicks,Marks,Hand Balls,Disp,Goals,Behinds,Hit Outs,Tackles,Rebounds,Inside 50,Clearances,Clangers,Frees For,Frees Against,Uncontested Possessions,Contested Possessions,Contested Marks,Marks Inside 50,One Percenters,Bounces,Kicks G,Marks G,Hand Balls G,Disp G,Goals G,Behinds G,Hit Outs G,Tackles G,Rebounds G,Inside 50 G,Clearances G,Clangers G,Frees For G,Frees Against G,Uncontested Possessions G,Contested Possessions G,Contested Marks G,Marks Inside 50 G,One Percenters G,Bounces G,Brownlow
David Astbury,2016,10,7,6,16,0,0,0,0,4,1,0,3,0,0,6,9,2,0,6,0,0.42105263157894735,0.7000000000000001,0.2777777777777778,0.46428571428571425,0.0,0.0,0.0,0.0,0.5,0.125,0.0,0.5,0.0,0.0,0.3125,0.3,0.6666666666666666,0.0,0.8571428571428571,0.0,0
Trent Cotchin,2016,14,0,7,21,0,0,0,6,5,1,3,3,2,2,10,11,0,0,0,0,0.631578947368421,0.0,0.33333333333333326,0.6428571428571429,0.0,0.0,0.0,0.8571428571428571,0.625,0.125,0.30000000000000004,0.5,0.5,0.6666666666666666,0.5625,0.4,0.0,0.0,0.0,0.0,0
Shane Edwards,2016,7,1,5,12,1,0,0,3,0,3,2,3,1,1,6,4,0,0,0,0,0.2631578947368421,0.1,0.22222222222222224,0.3214285714285714,0.3333333333333333,0.0,0.0,0.42857142857142855,0.0,0.375,0.2,0.5,0.25,0.3333333333333333,0.3125,0.04999999999999999,0.0,0.0,0.0,0.0,0
Brandon Ellis,2016,11,3,10,21,0,0,0,2,0,0,3,3,0,0,8,12,1,0,0,1,0.4736842105263158,0.30000000000000004,0.5,0.6428571428571429,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.30000000000000004,0.5,0.0,0.0,0.4375,0.45000000000000007,0.3333333333333333,0.0,0.0,1.0,0
Corey Ellis,2016,8,3,3,11,1,0,0,4,1,4,0,1,1,0,3,8,1,0,1,0,0.3157894736842105,0.30000000000000004,0.1111111111111111,0.2857142857142857,0.3333333333333333,0.0,0.0,0.5714285714285714,0.125,0.5,0.0,0.16666666666666666,0.25,0.0,0.125,0.25,0.3333333333333333,0.0,0.14285714285714285,0.0,0
Ben Griffiths,2016,6,4,4,10,0,0,7,1,0,5,1,1,0,1,5,5,0,1,3,0,0.21052631578947367,0.4,0.16666666666666666,0.24999999999999994,0.0,0.0,0.29166666666666663,0.14285714285714285,0.0,0.625,0.1,0.16666666666666666,0.0,0.3333333333333333,0.25,0.09999999999999998,0.0,0.3333333333333333,0.42857142857142855,0.0,0
Dylan Grimes,2016,4,3,2,6,0,0,0,2,0,1,0,4,0,3,1,5,0,0,6,0,0.10526315789473684,0.30000000000000004,0.05555555555555555,0.10714285714285714,0.0,0.0,0.0,0.2857142857142857,0.0,0.125,0.0,0.6666666666666666,0.0,1.0,0.0,0.09999999999999998,0.0,0.0,0.8571428571428571,0.0,0
Shaun Hampson,2016,2,1,6,8,0,1,24,0,1,0,1,1,1,0,3,5,0,0,3,0,0.0,0.1,0.2777777777777778,0.17857142857142855,0.0,0.5,1.0,0.0,0.125,0.0,0.1,0.16666666666666666,0.25,0.0,0.125,0.09999999999999998,0.0,0.0,0.42857142857142855,0.0,0
Bachar Houli,2016,15,6,9,24,0,0,0,0,8,3,1,5,0,1,5,14,1,0,3,0,0.6842105263157895,0.6000000000000001,0.4444444444444444,0.75,0.0,0.0,0.0,0.0,1.0,0.375,0.1,0.8333333333333333,0.0,0.3333333333333333,0.25,0.55,0.3333333333333333,0.0,0.42857142857142855,0.0,0
Kane Lambert,2016,16,8,12,28,1,0,0,7,2,4,3,6,1,2,10,20,0,2,2,1,0.7368421052631579,0.8,0.611111111111111,0.8928571428571429,0.3333333333333333,0.0,0.0,1.0,0.25,0.5,0.30000000000000004,1.0,0.25,0.6666666666666666,0.5625,0.85,0.0,0.6666666666666666,0.2857142857142857,1.0,0
